t_utc,t_unix,t_sclk_cor,t_tid,tid,orbit,focusmode,alt,lst,long,lat,sza,mass,species,cps_dt_bkd,abundance,precision,quality
2025-11-15T01:06:22,1763168782.777373,816440350.301373,3928.309551,63116,24808,csn,4.556398e+02,2.243913e+01,-1.543605e+02,4.753348e+01,1.250259e+02,40,Ar,0.000000,0.000000,0.000000,IU
2025-11-15T01:06:24,1763168784.777367,816440352.301367,3930.309551,63116,24808,csn,4.541850e+02,2.244304e+01,-1.543047e+02,4.742949e+01,1.251360e+02,40,Ar,0.000000,0.000000,0.000000,IU
2025-11-15T01:06:26,1763168786.777363,816440354.301363,3932.309551,63116,24808,csn,4.527335e+02,2.244742e+01,-1.542492e+02,4.732538e+01,1.252487e+02,40,Ar,0.000000,0.000000,0.000000,IU
2025-11-15T01:06:28,1763168788.777359,816440356.301359,3934.309551,63116,24808,csn,4.512852e+02,2.245183e+01,-1.541938e+02,4.722116e+01,1.253616e+02,40,Ar,0.000000,0.000000,0.000000,IU
2025-11-15T01:06:30,1763168790.777355,816440358.301355,3936.309551,63116,24808,csn,4.498403e+02,2.245597e+01,-1.541386e+02,4.711682e+01,1.254734e+02,40,Ar,0.000000,0.000000,0.000000,IU
2025-11-15T01:06:32,1763168792.777351,816440360.301351,3938.309551,63116,24808,csn,4.483986e+02,2.246022e+01,-1.540836e+02,4.701237e+01,1.255859e+02,40,Ar,0.000000,0.000000,0.000000,IU
2025-11-15T01:06:34,1763168794.777347,816440362.301347,3940.309551,63116,24808,csn,4.469602e+02,2.246445e+01,-1.540288e+02,4.690779e+01,1.256984e+02,40,Ar,0.000000,0.000000,0.000000,IU
2025-11-15T01:06:36,1763168796.777343,816440364.301343,3942.309551,63116,24808,csn,4.455252e+02,2.246858e+01,-1.539743e+02,4.680311e+01,1.258106e+02,40,Ar,0.000000,0.000000,0.000000,IU
2025-11-15T01:06:38,1763168798.777339,816440366.301339,3944.309551,63116,24808,csn,4.440934e+02,2.247279e+01,-1.539199e+02,4.669831e+01,1.259233e+02,40,Ar,0.000000,0.000000,0.000000,IU
2025-11-15T01:06:40,1763168800.777334,816440368.301334,3946.309551,63116,24808,csn,4.426650e+02,2.247673e+01,-1.538657e+02,4.659339e+01,1.260348e+02,40,Ar,0.000000,0.000000,0.000000,IU
