t_utc,t_unix,t_sclk,t_tid,tid,orbit,focusmode,alt,lst,long,lat,sza,ion_mass,cps_dt,abundance,sensitivity,SC_potential,precision,quality
2025-11-15T01:06:34,1763168793.847353,   816440361.37,3939.379555,63116,24808,osion,4.476287e+02,2.246250e+01,-1.540543e+02,4.695643e+01,1.256461e+02,2,37.039747,0.047141,550,-3.414330e+00,0.164311,SCP
2025-11-15T01:06:46,1763168805.847328,   816440373.37,3951.379555,63116,24808,osion,4.390588e+02,2.248722e+01,-1.537292e+02,4.632692e+01,1.263207e+02,2,37.039747,0.047141,550,-3.832499e+00,0.164311,SCP
2025-11-15T01:06:49,1763168808.847322,   816440376.37,3954.379555,63116,24808,osion,4.369352e+02,2.249333e+01,-1.536490e+02,4.616889e+01,1.264898e+02,2,37.039747,0.047141,550,-3.456131e+00,0.164311,SCP
2025-11-15T01:06:58,1763168817.847303,   816440385.37,3963.379555,63116,24808,osion,4.306097e+02,2.251167e+01,-1.534109e+02,4.569330e+01,1.269991e+02,2,37.039747,0.047141,550,-3.791080e+00,0.164311,SCP
2025-11-15T01:07:03,1763168822.847293,   816440390.37,3968.379555,63116,24808,osion,4.271253e+02,2.252194e+01,-1.532803e+02,4.542809e+01,1.272838e+02,2,37.039747,0.047141,550,-3.291780e+00,0.164311,SCP
2025-11-15T01:07:06,1763168825.847287,   816440393.37,3971.379555,63116,24808,osion,4.250449e+02,2.252778e+01,-1.532025e+02,4.526863e+01,1.274534e+02,2,148.205345,0.188625,550,-2.997755e+00,0.082143,SCP
2025-11-15T01:07:15,1763168834.847267,   816440402.37,3980.379555,63116,24808,osion,4.188502e+02,2.254556e+01,-1.529714e+02,4.478876e+01,1.279655e+02,2,37.039747,0.047141,550,-2.884313e+00,0.164311,SCP
2025-11-15T01:07:21,1763168840.847255,   816440408.37,3986.379555,63116,24808,osion,4.147595e+02,2.255750e+01,-1.528193e+02,4.446760e+01,1.283089e+02,2,37.039747,0.067345,550,-3.069081e+00,0.164311,SCP
2025-11-15T01:07:30,1763168849.847236,   816440417.37,3995.379555,63116,24808,osion,4.086826e+02,2.257500e+01,-1.525941e+02,4.398402e+01,1.288243e+02,2,74.082613,0.134696,550,-3.537066e+00,0.116183,SCP
2025-11-15T01:07:50,1763168869.847194,   816440437.37,4015.379555,63116,24808,osion,3.954358e+02,2.261278e+01,-1.521056e+02,4.290159e+01,1.299740e+02,2,37.039747,0.067345,550,-4.958457e+00,0.164311,SCP
2025-11-15T01:07:53,1763168872.847188,   816440440.37,4018.379555,63116,24808,osion,3.934798e+02,2.261833e+01,-1.520337e+02,4.273831e+01,1.301470e+02,2,37.039747,0.067345,550,-4.910997e+00,0.164311,SCP
2025-11-15T01:07:56,1763168875.847182,   816440443.37,4021.379555,63116,24808,osion,3.915320e+02,2.262389e+01,-1.519622e+02,4.257479e+01,1.303204e+02,2,37.039747,0.067345,550,-4.443399e+00,0.164311,SCP
2025-11-15T01:08:13,1763168892.847147,   816440460.37,4038.379555,63116,24808,osion,3.806501e+02,2.265528e+01,-1.515634e+02,4.164376e+01,1.313078e+02,2,111.195882,0.202174,550,-5.546801e+00,0.094832,SCP
2025-11-15T01:08:16,1763168895.847141,   816440463.37,4041.379555,63116,24808,osion,3.787575e+02,2.266056e+01,-1.514942e+02,4.147869e+01,1.314817e+02,2,37.039747,0.067345,550,-6.003879e+00,0.164311,SCP
2025-11-15T01:08:28,1763168907.847116,   816440475.37,4053.379555,63116,24808,osion,3.712713e+02,2.268222e+01,-1.512205e+02,4.081611e+01,1.321829e+02,2,74.082613,0.134696,550,-7.501024e+00,0.116183,SCP
2025-11-15T01:08:46,1763168925.847078,   816440493.37,4071.379555,63116,24808,osion,3.602975e+02,2.271361e+01,-1.508194e+02,3.981547e+01,1.332375e+02,2,37.039747,0.067345,550,-7.057133e+00,0.164311,SCP
2025-11-15T01:08:49,1763168928.847072,   816440496.37,4074.379555,63116,24808,osion,3.584987e+02,2.271889e+01,-1.507536e+02,3.964792e+01,1.334144e+02,2,37.039747,0.067345,550,-7.037361e+00,0.164311,SCP
2025-11-15T01:09:03,1763168942.847042,   816440510.37,4088.379555,63116,24808,osion,3.502197e+02,2.274278e+01,-1.504507e+02,3.886314e+01,1.342400e+02,2,37.039747,0.067345,550,-7.053949e+00,0.164311,SCP
2025-11-15T01:09:06,1763168945.847036,   816440513.37,4091.379555,63116,24808,osion,3.484705e+02,2.274806e+01,-1.503866e+02,3.869435e+01,1.344185e+02,2,37.039747,0.067345,550,-7.039191e+00,0.164311,SCP
2025-11-15T01:09:09,1763168948.847030,   816440516.37,4094.379555,63116,24808,osion,3.467302e+02,2.275306e+01,-1.503228e+02,3.852536e+01,1.345958e+02,2,111.195882,0.202174,550,-7.027892e+00,0.094832,SCP
2025-11-15T01:09:18,1763168957.847011,   816440525.37,4103.379555,63116,24808,osion,3.415625e+02,2.276806e+01,-1.501330e+02,3.801709e+01,1.351293e+02,2,37.039747,0.067345,550,-7.725862e+00,0.164311,SCP
2025-11-15T01:09:27,1763168966.846993,   816440534.37,4112.379555,63116,24808,osion,3.364753e+02,2.278306e+01,-1.499458e+02,3.750693e+01,1.356651e+02,2,37.039747,0.067345,550,-6.448647e+00,0.164311,SCP
