t_utc,t_unix,t_sclk,t_tid,tid,orbit,focusmode,alt,mass,species,density_bins,quality
2015-02-11T21:58:10,1423691889.962327,476963867.848637,4980.353335,14934,717,csn,2.671963e+02,40,Ar,1.000000,IU
2015-02-11T21:58:18,1423691897.962344,476963875.849432,4988.353335,14934,717,csn,2.622239e+02,40,Ar,1.100000,IU
2015-02-11T21:58:16,1423691895.962173,476963873.849233,4986.353335,14934,717,csn,2.647019e+02,40,Ar,1.200000,IU
2015-02-11T21:58:20,1423691899.963139,476963877.849630,4990.353335,14934,717,csn,2.609945e+02,40,Ar,1.300000,IU
2015-02-11T21:58:40,1423691919.965323,476963897.851619,5010.353335,14934,717,csn,2.519672e+02,40,Ar,1.400000,IU
2015-02-11T21:58:34,1423691913.964229,476963891.851022,5004.353335,14934,717,csn,2.561485e+02,40,Ar,1.500000,IU
2015-02-11T21:58:24,1423691903.963234,476963881.850028,4994.353335,14934,717,csn,2.585522e+02,40,Ar,1.600000,IU
2015-02-11T21:58:32,1423691911.964356,476963889.850823,5002.353335,14934,717,csn,2.537338e+02,40,Ar,1.700000,IU
2015-02-11T21:58:26,1423691905.963232,476963883.850227,4996.353335,14934,717,csn,2.573393e+02,40,Ar,1.800000,IU
2015-02-11T21:58:38,1423691917.964735,476963895.851420,5008.353335,14934,717,csn,2.574387e+02,40,Ar,1.900000,IU
2015-02-11T21:58:42,1423691921.965237,476963899.851817,5012.353335,14934,717,csn,2.495968e+02,40,Ar,2.000000,IU
2015-02-11T21:58:44,1423691923.965242,476963901.852017,5014.353335,14934,717,csn,2.466729e+02,40,Ar,2.100000,IU
2015-02-11T21:58:46,1423691925.965144,476963903.852215,5016.353335,14934,717,csn,2.455157e+02,40,Ar,2.200000,IU
2015-02-11T21:58:50,1423691929.966166,476963907.852612,5020.353335,14934,717,csn,2.432180e+02,40,Ar,2.300000,IU
2015-02-11T21:58:52,1423691931.966295,476963909.852811,5022.353335,14934,717,csn,2.432209e+02,40,Ar,2.400000,IU
2015-02-11T21:59:00,1423691939.966825,476963917.853606,5030.353335,14934,717,csn,2.394432e+02,40,Ar,2.500000,IU
2015-02-11T21:58:58,1423691937.966155,476963915.853408,5028.353335,14934,717,csn,2.386905e+02,40,Ar,2.600000,IU
2015-02-11T21:59:14,1423691953.968225,476963931.854998,5044.353335,14934,717,csn,2.333925e+02,40,Ar,2.700000,IU
2015-02-11T21:59:18,1423691957.968401,476963935.855395,5048.353335,14934,717,csn,2.304584e+02,40,Ar,2.800000,IU
