PDS_VERSION_ID               = PDS3
RECORD_TYPE                  = STREAM


OBJECT                       = TEXT
  INTERCHANGE_FORMAT         = ASCII
  PUBLICATION_DATE           = 2026-03-17
  NOTE                       = "List of data related events altering REMS 
                               regular acquisition cadence"
END_OBJECT                   = TEXT
END

The following table contains a list of dates and times with events
that may have an impact in the REMS regular acquisition cadence of 5
minutes every hour (due to reasons such as rover maintenance, REMS
powered off to not to conflict with other activities, tests, etc).

As part of those events, this table also shows the sols in which REMS
sensor underwent the following maintenance activities: GTS
calibration, HS regeneration, HS defrosting and PS calibration.

This table also reflects Humidity Sensor on/off tests and the beginning
of nominal use of the HS HRIM measurement strategy (for which the
tests were performed). Refer to catalogs for an explanation of this
strategy.

|  Sol | Event                                  | GTS | HS    | HS      | PS  |
|      |                                        | Cal | Regen | Defrost | Cal |
|------+----------------------------------------+-----+-------+---------+-----|
|    1 |                                        |     | X     |         |     |
|    2 | No activity                            |     |       |         |     |
|    3 | No activity                            |     |       |         |     |
|    4 | No activity                            |     |       |         |     |
|    5 | No activity                            |     |       |         |     |
|    6 | No activity                            |     |       |         |     |
|    7 | No activity                            |     |       |         |     |
|    8 | No activity                            |     |       |         |     |
|    9 |                                        |     |       |         | X   |
|   10 |                                        |     |       |         | X   |
|   11 |                                        |     | X     |         |     |
|   13 | No activity from 05:00 to 11:00        | X   | X     |         |     |
|   14 |                                        | X   |       |         |     |
|   16 |                                        | X   |       |         |     |
|   18 | No activity from 12:00                 |     |       |         |     |
|   19 | No activity from 00:00 to 12:00        |     |       |         |     |
|   20 | No activity from 03:00 to 11:00        | X   | X     |         |     |
|   26 |                                        |     |       | X       |     |
|   29 |                                        | X   |       |         |     |
|   30 |                                        |     |       | X       |     |
|   31 | No data for ATS,GTS and WS from        |     |       |         |     |
|      | 12:00 to 20:00                         |     |       |         |     |
|      | No activity from 21:00                 |     |       |         |     |
|   32 | No activity from 00:00 to 11:00        |     |       |         |     |
|   34 | No data for ATS,GTS and WS at 11:00    |     |       |         |     |
|   38 |                                        | X   |       |         |     |
|   43 | HS configuration tests                 |     |       |         |     |
|   44 | HS configuration tests                 | X   |       |         |     |
|   45 | HS configuration tests                 |     |       |         |     |
|   46 | HS configuration tests                 |     |       |         |     |
|   47 | HS configuration tests                 |     |       |         |     |
|   48 | HS configuration tests                 |     |       |         |     |
|   49 | HS configuration tests                 |     |       |         |     |
|   50 | HS configuration tests                 |     |       |         |     |
|   51 | HS configuration tests                 |     |       |         |     |
|   52 | HS configuration tests                 |     |       |         |     |
|   69 | No activity from 07:00 to 11:00        |     | X     |         |     |
|   72 |                                        | X   |       |         |     |
|   73 | WS always on from this sol on          |     |       |         |     |
|   82 |                                        | X   | X     |         |     |
|   90 |                                        | X   | X     |         |     |
|   99 |                                        | X   |       |         | X   |
|  100 |                                        |     | X     |         | X   |
|  112 |                                        |     | X     |         |     |
|  113 | No activity at 13:00                   |     |       |         |     |
|  120 |                                        | X   |       |         |     |
|  121 |                                        |     | X     |         |     |
|  131 |                                        | X   | X     |         |     |
|  148 |                                        |     | X     |         |     |
|  152 |                                        | X   |       |         |     |
|  158 |                                        | X   |       |         |     |
|------+----------------------------------------+-----+-------+---------+-----|
|  Sol | Event                                  | GTS | HS    | HS      | PS  |
|      |                                        | Cal | Regen | Defrost | Cal |
|------+----------------------------------------+-----+-------+---------+-----|
|  159 |                                        | X   |       |         |     |
|  160 |                                        |     | X     |         |     |
|  161 |                                        | X   |       |         |     |
|  162 |                                        | X   |       |         |     |
|  163 |                                        | X   |       |         |     |
|  164 |                                        | X   |       |         |     |
|  165 |                                        | X   |       |         |     |
|  176 |                                        |     | X     |         |     |
|  181 |                                        |     | X     |         |     |
|  188 |                                        | X   |       |         |     |
|  189 |                                        | X   |       |         |     |
|  192 | No activity from 14:00                 |     |       |         |     |
|  193 | No activity                            |     |       |         |     |
|  194 | No activity                            |     |       |         |     |
